tableName,tableId,permission,feature
Source Type,revRecAmountSourceType,LIST_REVENUERECOGNITIONRULE,
Special Account Type,specialAccountType,LIST_ACCOUNT,Accounting
SSP Application,webapp,ADMI_CUSTOMSCRIPT,
Standard Cost Version,standardCostVersion,LIST_STANDARDCOSTVERSION,Standard Costing
State/Province/County,state,ADMI_SETUPCOMPANY,
Status,ApplicabilityStatusType,LIST_PROMOTIONCODE,
Status,UsageStatus,LIST_USAGE,Advanced Billing
Status,subscriptionLineStatus,LIST_SUBSCRIPTION,Advanced Billing
Status,PlannedOrderStatusType,,
Status,scriptStatus,,
Status,StatusType,ADMI_EXPENSEREPORTPOLICY,Expense Reports
Stock Behavior Type,StockBehaviorType,,
Subscription Status,SubscriptionStatus,,Marketing Automation
Subsidiary,Subsidiary,LIST_SUBSIDIARY,Subsidiaries
Subsidiary Settings,SubsidiarySettings,ADMI_SUBSIDIARYSETTINGSMANAGER,Subsidiaries
Suitelet,suitelet,ADMI_CUSTOMSCRIPT,
Suitelet Deployment,suiteletDeployment,ADMI_CUSTOMSCRIPT,
Suite Script Detail,SuiteScriptDetail,ADMI_CUSTOMSCRIPT,
Supply Change Order,supplyChangeOrderStatus,,
Supply Plan Definition,demandSourceType,,
Supply Type,ItemSupplyType,,
Symbol Placement,CurrencySymbolPlacement,LIST_CURRENCY,
System Email Template (Scriptable),SystemEmailTemplate,LIST_SYSTEMEMAILTEMPLATE,CRM or Web Store
System Note,SystemNote,,
System Notes,systemNoteContextType,,
System Notes v2,SystemNote2,,
Tab Type,StoreTabType,,
Tag,tag,LIST_WEBSITE,Advanced Site Customization
Task,Task,LIST_TASK,
Tax Calculation Plugin,taxCalculationPlugin,ADMI_CUSTOMSCRIPT,
Tax Code,salesTaxItem,LIST_TAXITEM,
Tax Item,taxItemTaxGroup,LIST_TAXITEM,Not SuiteTax
Tax Override Method,taxOverrideMethod,,
Tax Type,taxType,LIST_TAXITEM,
Template Type,CrmTemplateType,,
Termination Reason Category,Hcmterminationcategory,,
Terms,term,ADMI_ACCOUNTINGLIST,
Test Plugin,testPlugin,ADMI_CUSTOMSCRIPT,
Time Modification Request,TimeModificationRequest,ADMI_TIMEMODIFICATION,Project Management and Time Tracking
Time Tracking,TimeBill,TRAN_TIMEBILL,Time Tracking
Time Type,TimelineType,TRAN_TIMEBILL,
Time Zone,TimeZone,,
Topic,Topic,LIST_KNOWLEDGEBASE,Knowledge Base
Tracking Number,TrackingNumber,TRAN_ITEMSHIP,
Transaction,transaction,TRAN_FIND,
Transaction Audit Trail,transactionHistory,TRAN_AUDIT,
Transaction Billing,TransactionBilling,LIST_BILLINGSCHEDULE,Advanced Billing
Transaction Line,revRecEventTranLine,LIST_RECOGNITIONEVENTTYPE,
Transaction Numbering Audit Log,TransactionNumberingAuditLog,LIST_TRANNUMBERAUDITLOG,
Transaction Status,TransactionStatus,ADMI_SETUPCOMPANY,
Type,AmortizationType,LIST_AMORTIZATION,
Type,EmploymentCategory,,
Type,paymentInstrumentType,,
Type,PresentationItemType,,
Type,ItemSegmentType,,
Type,revRecChangeImpactType,LIST_REVENUERECOGNITIONRULE,
Type,paymentInstrumentStateType,,
Type,vsoeSopGroupType,,
Type,revRecRecurrenceType,LIST_REVENUERECOGNITIONRULE,
Type,paymentOperation,,
Type,vsoeDiscountType,,
Type,SubscriptionMessageType,,
Type,storeType,ADMI_STORESETUP,
Unbilled Receivable Adjustment Journal Grouping,UnbilledReceivableGrouping,LIST_REVRECSCHEDULE,
Undelivered Email,undeliveredEmail,LIST_UNDELIVEREDEMAIL,
Unit,subscriptiontermunit,ADMI_ACCOUNTINGLIST,Advanced Billing
Units Type,unitsType,LIST_UNIT,Multiple Units of Measure
Update Time Zone,FXRATEUPDATEZONE,LIST_CURRENCY,
Userevent Script,userEventScript,ADMI_CUSTOMSCRIPT,
User Event Script Deployment,UserEventScriptDeployment,ADMI_CUSTOMSCRIPT,
UsrDsExecutionLog,UsrDsExecutionLog,ADMI_ANALYTICS,
Validate PostBack status,validatePostbackStatus,,
Vendor,Vendor,LIST_VENDOR,
Vendor Category,VendorCategory,ADMI_ACCOUNTINGLIST,Accounting
Vendor-Subsidiary Relationship,VendorSubsidiaryRelationship,LIST_VENDOR,Subsidiaries
Website,webSite,ADMI_STORESETUP,Website
Web Site Field Set Record Type,webSiteFieldsetRecordType,,
Web Site Redirect,redirect,ADMI_STORESETUP,Host HTML Files
Website Scope,webSiteScope,ADMI_STORESETUP,
Web Site Tab,StoreTab,LIST_STORETAB,
Web Site Theme,SiteTheme,LIST_WEBSITE,
Workbook Builder Plug-in,workbookBuilderPlugin,ADMI_CUSTOMSCRIPT,SuiteAnalytics Workbook
Work Calendar,workCalendar,LIST_WORKCALENDAR,Generic Work Calendar
